Collection_Sample,gDNA_Sample,Babesia_sp,Babesia_sp_Coco,Babesia_odocoieli,Borrelia_lonestari,Cryptoplasma_sp,Cytauxozoon_felis,Ehrlichia_chaffeensis,Ehrlichia_ewingii,Ehrlichia_sp_PanolaMountain,Hepatozoon_sp_A,Hepatozoon_sp_B,Rickettsia_amblyommatis,Rickettsia_andeanae,Rickettsia_parkeri,Rickettsia_rhiphicephali,Rickettsia_sp_Iaff,Rickettsia_sp_Iscap,Theileria_cervi
AA352,AduAA82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA749,AduAA83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA750,AduAA84,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA751,AduAA85,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA752,AduAA86,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
AA753,AduAA87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA754,AduAA88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
AA755,AduAA89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1015,AduAA90,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1016,AduAA91,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1017,AduAA92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1018,AduAA93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1250,AduAA94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1251,AduAA95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1252,AduAA96,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1253,AduAA97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1254,AduAA98,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA1255,AduAA99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA1256,AduAA100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA46,AduAA101,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA47,AduAA102,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
AA164,AduAA103,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
AA165,AduAA104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA166,AduAA105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA167,AduAA106,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
AA168,AduAA107,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
